Series_ID,Title,Summary,Publication_Date,Authors,PMIDs
GSE293176,silencing tet1 expression alters the epigenomic landscape and amplifies transcriptomic responses allergen airway epithelial cells rnaseq,previous studies have demonstrated that tet1 plays protective role against house dust mite hdminduced allergic airway inflammation tet1 transcriptionally responded hdm extract and regulated the expression genes involved asthma human bronchial epithelial cells hbecs how tet1 regulates expression these genes however unknown this end measured mrna expression dna methylation chromatin accessibility and histone modifications control and tet1 knockdown hbecs treated untreated with hdm extract throughout our analyses multiomics data detected significant similarities between the effects tet1 knockdown alone and the effects hdm treatment alone all enriched for asthmarelated genes and pathways one especially striking pattern was that both tet1 knockdown and hdm treatment generally led decreased chromatin accessibility many the same genomic loci transcription factor enrichment analyses indicated that altered chromatin accessibility following the loss tet1 may affect affected ctcf and cebp binding analysis h3k27ac levels and comparison with existing datasets suggested potential impact tet1 enhancer activity tet1 loss also led changes dna methylation but these changes were generally regions where accessibility was not changing lastly more significant transcriptomic changes were observed hbec cells with tet1 knockdown compared control cells following hdm challenges collectively our data suggest that tet1 regulates gene expression through distinct mechanisms across various genomic regions airway epithelial cells restricting transcriptomic responses allergen and potentially protecting against the development asthma,2025/05/30,24676,"[IntegerElement(40401166, attributes={})]"
GSE293175,silencing tet1 expression alters the epigenomic landscape and amplifies transcriptomic responses allergen airway epithelial cells atacseq,previous studies have demonstrated that tet1 plays protective role against house dust mite hdminduced allergic airway inflammation tet1 transcriptionally responded hdm extract and regulated the expression genes involved asthma human bronchial epithelial cells hbecs how tet1 regulates expression these genes however unknown this end measured mrna expression dna methylation chromatin accessibility and histone modifications control and tet1 knockdown hbecs treated untreated with hdm extract throughout our analyses multiomics data detected significant similarities between the effects tet1 knockdown alone and the effects hdm treatment alone all enriched for asthmarelated genes and pathways one especially striking pattern was that both tet1 knockdown and hdm treatment generally led decreased chromatin accessibility many the same genomic loci transcription factor enrichment analyses indicated that altered chromatin accessibility following the loss tet1 may affect affected ctcf and cebp binding analysis h3k27ac levels and comparison with existing datasets suggested potential impact tet1 enhancer activity tet1 loss also led changes dna methylation but these changes were generally regions where accessibility was not changing lastly more significant transcriptomic changes were observed hbec cells with tet1 knockdown compared control cells following hdm challenges collectively our data suggest that tet1 regulates gene expression through distinct mechanisms across various genomic regions airway epithelial cells restricting transcriptomic responses allergen and potentially protecting against the development asthma,2025/05/30,24676,"[IntegerElement(40401166, attributes={})]"
GSE282963,human endothelial colony forming cells ecfcs require endothelial protein receptor epcr for cell cycle progression and angiogenic activity,vascular repair and regeneration are critical for tissue homeostasis endothelial colony forming cells ecfcs are vesselresident progenitors with vasoreparative capacity and they offer important avenue for allogeneic cytotherapy achieve perfusion ischemic tissues endothelial protein receptor epcr has been proposed reliable marker for vascular endothelial stem cells but its precise role ecfc biology remains unknown the current study has investigated the biological relevance epcr ecfc function our data shows that over ecfcs exhibit high epcr expression these levels surpassing cd34 and cd157 positions epcr new robust ecfc immunophenotypic marker alongside established markers cd31 and cd105 functionally depleting ecpr expression ecfcs significantly diminished angiogenic activity including proliferation migration and tube formation this knockdown also altered normal ecfc barrier function transcriptomic analysis indicated that knockdown epcr led enrichment gene signatures for cell cycle tgf beta and focal adhesion kinases and cell cycle arrest was confirmed ecfcs which epcr was depleted mechanistically epcr knockdown led increased release tgfb2 and smad23 activation coupled with increased p21 decreased pfak and increased transgelin additionally showed that quiescent ecfcs showed significantly lower epcr expression when compared proliferating ecfcs agreement with this cell sorting experiments demonstrated that ecfcs with the highest epcr expression exhibited the highest clonogenic capacity summary our findings highlight that epcr expression ecfcs critical for their angiogenic activity modulating processes such cell cycle progression barrier function and endothelial mesenchymal transition,2025/05/30,30173,"[IntegerElement(40407837, attributes={})]"
GSE275991,znf574 quality control factor for defective ribosome biogenesis intermediates crisprigrowth,eukaryotic ribosome assembly intricate process that involves four ribosomal rnas ribosomal proteins and over 200 biogenesis factors that take part numerous interdependent steps the complexity and essentiality this process creates opportunities for deleterious mutations occur accumulate and impact downstream cellular processes “deadend” ribosome intermediates that result from biogenesis errors are rapidly degraded affirming the existence quality control pathways that monitor ribosome assembly however the factors that differentiate between onpath and deadend intermediates are unknown engineered system perturb ribosome assembly human cells and discovered that faulty ribosomes are degraded via the ubiquitin proteasome system identified znf574 key component novel quality control pathway which term the ribosome assembly surveillance pathway rasp animal model loss znf574 leads developmental defects further emphasizing the importance rasp organismal health,2025/05/30,20301,"[IntegerElement(40328246, attributes={})]"
GSE275990,znf574 quality control factor for defective ribosome biogenesis intermediates crispriflow,eukaryotic ribosome assembly intricate process that involves four ribosomal rnas ribosomal proteins and over 200 biogenesis factors that take part numerous interdependent steps the complexity and essentiality this process creates opportunities for deleterious mutations occur accumulate and impact downstream cellular processes “deadend” ribosome intermediates that result from biogenesis errors are rapidly degraded affirming the existence quality control pathways that monitor ribosome assembly however the factors that differentiate between onpath and deadend intermediates are unknown engineered system perturb ribosome assembly human cells and discovered that faulty ribosomes are degraded via the ubiquitin proteasome system identified znf574 key component novel quality control pathway which term the ribosome assembly surveillance pathway rasp animal model loss znf574 leads developmental defects further emphasizing the importance rasp organismal health,2025/05/30,18573,"[IntegerElement(40328246, attributes={})]"
GSE274722,defective dcps decapping manifests creatine deficiency syndrome and neurological impairment,biallelic mutations the dcps gene that disrupt the decapping activity the dcps scavenger decapping enzyme lead neurodevelopmental deficiencies and intellectual disability however how the neurogenesis defects arise these individuals remains unknown here show that cells derived from dcps mutant individuals have metabolic deficiency their creatine biosynthetic pathway the cells possess reduced levels creatine and corresponding elevation the creatine precursor guanidinoacetate gaa due reduced levels guanidinoacetate methyltransferase mrna and protein importantly the compromised neurogenesis well neurite outgrowth observed dcps mutant induced pluripotent stem cell differentiation into neurons was reversed upon supplementation creatine monohydrate into the culture medium these findings suggest creatine deficiency the underlying etiology the neurogenetic defect dcps mutant cells and potential driver the neurological deficienciesin affected individuals,2025/05/30,24676,"[IntegerElement(40410278, attributes={})]"
GSE274274,identification prognostic biomarkers for endometrioid endometrial carcinoma based the mirna and mrna ‐expression network regulated estradiol mirna,endometrioid endometrial carcinoma eec estradiolrelated disease remains serious health threat women because its high incidence and trend rejuvenation accumulating evidence has highlighted that micrornas mirnas and messenger rnas mrnas play important roles various biological processes involved the pathogenesis eec this study aimed identify the potential prognostic biomarkers associated with eec regulated estradiol,2025/05/30,16791,"[IntegerElement(40319860, attributes={})]"
GSE270046,gpatch4 functions regulator nucleolar rloops hepatocellular carcinoma cells,emerging evidence suggests that dysregulated rnabinding proteins rbps are associated variety cancers however the exact roles rnabinding proteins during the tumorigenesis hepatocellular carcinoma hcc remain largely unknown here systematically searched for rbp candidates with potential oncogenic functions hcc through multiomics data integration strategies and identified that gpatch4 gene amplified and its high expression predicts poor prognosis mapped the vivo rna binding sites gpatch4 iclipseq and characterized that gpatch4 mainly bound rrnas with gcrich consensus sequence gpatch4 promoted hcc cell proliferation and transformation both vitro and vivo through increasing rrna transcription and global protein synthesis,2025/05/30,11154,"[IntegerElement(40401559, attributes={})]"
GSE268685,akt1e17kinteracting lncrna svilas1 promotes akt1 oncogenic functions sustaining its phosphorylation,akt1 e17k occurring low frequency broad range cancer types gainoffunction mutation that constitutively activates the pi3kakt pathway however how akt1e17k regulated cancer pathogenesis remains elusive here interrogate the akt1e17kinteracting lncrnas and identify that svilas1 preferentially binds akt1e17k rather than akt1wt proteins find that svilas1 enhances akt1 phosphorylation and downstream signaling svilas1 knockdown dramatically inhibits the growth akt1e17k cells intro and vivo notably akt1 and svilas1 interaction akt1 phosphorylationdependent svilas1 also interacts with ppp2r2a subunit phosphatase pp2a holoenzyme and blocks the binding ppp2r2a akt1e17k prevent akt1 dephosphorylation moreover akt1e17k cells are not effectively inhibited the allosteric akt inhibitor whereas silencing svilas1 sensitizes akt1e17k cells akt1 allosteric inhibitor well the pi3k inhibitor breast cancer tissues svilas1 highly expressed and associated with pakt1 level and poor prognosis patients together our findings highlight previously unappreciated role lncrna svilas1 regulating akt1 dephosphorylation which serves promising therapeutic target for akt1e17k tumors,2025/05/30,20795,"[IntegerElement(40135844, attributes={})]"
GSE266878,scale manufacturing approach for production human induced pluripotent stem cellderived islets using vertical wheel®bioreactors,utilized the 10x genomics chromium single cell ’ rnaseq platform examine the genomic makeup human induced pluripotent stem cellderived islets following their differentiation under full suspension conditions using pbs vertical wheel bioreactors our investigation aimed assess the efficacy the scislet differentiation process suspension transitioning from 01l scaledup 05l volume our primary objective was showcase the effectiveness modified protocol for pancreatic endocrine differentiation with specific focus the final stage maturation during scaleup gain comprehensive understanding these developmental changes integrated our transcriptomic analyses post the final maturation process with transcript data from human donor islets and existing scislet datasets,2025/05/30,24676,"[IntegerElement(40442082, attributes={})]"
GSE256526,irradiation lkb1 loss allows the identification target genes preventing brafv600einduced growth arrest melanoma cells,brafv600einduced cell growth arrest melanocytic nevus debate where only one third melanomas arise directly from nevi showed that simultaneous neonatal oncogene brafv600e activation and uvb irradiation prevent brafv600einduced growth arrest melanocytes allowing melanoma development metaanalysis gene expression profiles melanocytes isolated from different mouse models and numerous studies revealed multiple common genes and processes involved preventing brafv600einduced growth arrest humans many these genes are associated with poor survival and are upregulated during melanoma progression and many ras pathway activationdriven tumors singlecell profiling confirmed that brafv600e and the identified genes cooperate melanocyte transformation including the acquisition multidrug resistance features depletion these genes vitro and vivo revealed the utility the encoded proteins therapeutic targets these results support the existence brafv600emutated melanomas unassociated with nevus progression and identify targets for melanoma treatment,2025/05/30,24676,"[IntegerElement(40057604, attributes={})]"
GSE256378,exploring the roles notch inhibitors and stat3 inhibitors the regulation liver cancer proliferation,discovered that the inhibition both the notch and stat3 signaling pathways effectively suppressed the proliferation liver cancer cells which aligns with the results obtained from coculturing with human hepatocytederived liver progenitorlike cells heplpcs,2025/05/30,24676,"[IntegerElement(40019515, attributes={})]"
GSE256376,improvement hepatocellular carcinoma using hepatocytederived liver progenitorlike cells heplpcs therapeutic proliferation arrest malignant biological behavior changes，signal pathway screening,employed coculture experiment and found that human hepatocytederived liver progenitorlike cells heplpcs significantly inhibited the proliferation hepatocellular carcinoma hcc specific manner and altered their malignant biological behavior without affecting cell aging autophagy apoptosis and evaluate the mechanism action hepg2 and hep3b after cocultured with heplpcs gene profiling were performed and observed addition proliferative blockade induction that cascade events originated from mitochondrial dysfunction,2025/05/30,24676,"[IntegerElement(40019515, attributes={})]"
GSE247302,pspc1 selectively controls tumorigenesis and oncogenic transcription acute myeloid leukemia,this superseries composed the subseries listed below,2025/05/30,24676,"[IntegerElement(39954676, attributes={})]"
GSE247301,pspc1 selectively controls tumorigenesis and oncogenic transcription acute myeloid leukemia rnaseq,acute myeloid leukemia aml aggressive hematopoietic malignancy characterized the blockage myeloid cell differentiation and uncontrolled proliferation immature myeloid cells here show that paraspeckle component pspc1 aberrantly overexpressed aml and high level pspc1 expression associated with poor survival aml patients demonstrate that pspc1 loss dramatically suppresses leukemia maintenance and initiationdevelopment well selfrenewal leukemia stem cells lscs but has effect normal hematopoiesis mechanistically pspc1 interacts with pu1 and they cooccupy the chromatin especially promoter regions proximal transcription start site tss recruitment pspc1 and pu1 cobound regions was dependent each other regulate target genes expression such ndc1 prognostic marker multiple tumors collectively our findings uncover selective and crucial role pspc1 aml and highlight its potential promising therapeutic target for myeloid malignancies,2025/05/30,24676,"[IntegerElement(39954676, attributes={})]"
GSE247300,pspc1 selectively controls tumorigenesis and oncogenic transcription acute myeloid leukemia chipseq,acute myeloid leukemia aml aggressive hematopoietic malignancy characterized the blockage myeloid cell differentiation and uncontrolled proliferation immature myeloid cells here show that paraspeckle component pspc1 aberrantly overexpressed aml and high level pspc1 expression associated with poor survival aml patients demonstrate that pspc1 loss dramatically suppresses leukemia maintenance and initiationdevelopment well selfrenewal leukemia stem cells lscs but has effect normal hematopoiesis mechanistically pspc1 interacts with pu1 and they cooccupy the chromatin especially promoter regions proximal transcription start site tss recruitment pspc1 and pu1 cobound regions was dependent each other regulate target genes expression such ndc1 prognostic marker multiple tumors collectively our findings uncover selective and crucial role pspc1 aml and highlight its potential promising therapeutic target for myeloid malignancies,2025/05/30,24676,"[IntegerElement(39954676, attributes={})]"
GSE179203,expression rna serum from pdac patient,expression profiling over 60000 rnas was performed using cdna microarray the profiling was performed using serum rna from pdac patients compared with healthy individuals,2025/05/30,16686,"[IntegerElement(38416857, attributes={})]"
GSE144626,virus propagation potentiated glial replication and accelerated demyelinationassociated glial proliferation scrnaseq,progressive multifocal leukoencephalopathy pml demyelinating infection the brain immunosuppressed individuals mediated the gliotropic polyomavirus jcv jcv replicates mitoticallycompetent human glial progenitor cells and astrocytes which are triggered divide the setting viral antigenmediated cell cycle entry allowing viral replication the death mitoticallyincompetent oligodendrocytes occurs secondarily largely through antigenmediated apoptosis this observation suggested that jcv infection might potentiated astrocytic replication and hence accelerated the setting mitotic gliogenesis test this hypothesis tagged dividing human glia vitro with bromodeoxyuridine brdu then infected them with jcv mad1 and confirmed that proliferating human astrocytes are more supportive jcv propagation than mitotically quiescent cells vitro scratch assays confirmed that viral propagation was greatly enhanced periscratch regions dividing glia jcv infection human glial chimeras established that infection was greatly accentuated cuprizonemediated demyelination which was associated with increased glial progenitor cell proliferation jcv infection vivo was associated with caspase3defined death uninfected well infected oligodendrocytes suggesting the contribution bystander death jcvassociated demyelination these results suggest that jcv propagation pml may potentiated glial cell division and that the accentuated glial cell division and hence dna replication attending acute demyelination might provide especially favorable environment for jcv propagation and pml progression these data thus argue for the aggressive prevention new demyelinating events patients risk for pml,2025/05/30,24676,"[IntegerElement(39133566, attributes={})]"
GSE144538,virus propagation potentiated glial replication and accelerated demyelinationassociated glial proliferation,progressive multifocal leukoencephalopathy pml demyelinating infection the brain immunosuppressed individuals mediated the gliotropic polyomavirus jcv jcv replicates mitoticallycompetent human glial progenitor cells and astrocytes which are triggered divide the setting viral antigenmediated cell cycle entry allowing viral replication the death mitoticallyincompetent oligodendrocytes occurs secondarily largely through antigenmediated apoptosis this observation suggested that jcv infection might potentiated astrocytic replication and hence accelerated the setting mitotic gliogenesis test this hypothesis tagged dividing human glia vitro with bromodeoxyuridine brdu then infected them with jcv mad1 and confirmed that proliferating human astrocytes are more supportive jcv propagation than mitotically quiescent cells vitro scratch assays confirmed that viral propagation was greatly enhanced periscratch regions dividing glia jcv infection human glial chimeras established that infection was greatly accentuated cuprizonemediated demyelination which was associated with increased glial progenitor cell proliferation jcv infection vivo was associated with caspase3defined death uninfected well infected oligodendrocytes suggesting the contribution bystander death jcvassociated demyelination these results suggest that jcv propagation pml may potentiated glial cell division and that the accentuated glial cell division and hence dna replication attending acute demyelination might provide especially favorable environment for jcv propagation and pml progression these data thus argue for the aggressive prevention new demyelinating events patients risk for pml,2025/05/30,16791,"[IntegerElement(39133566, attributes={})]"
GSE295194,self and parasitederived peptides selected upon deraabearing hladrb1 alleles activate cd4 cells from chagas cardiomyopathy patients and are associated with ventricular dysfunction,human infection with the protozoan trypanosoma cruzi causes chagas disease which may lead deadly dilated cardiomyopathy resulting from tcellmediated inflammation found that specific hladrb1 alleles 0103 0402 1301 and 1302 that display the deraa motif are linked this severe clinical manifestation chagas disease employed computational analysis vitro functional assays and singlecell rna sequencing determine the response cd4 cells from indeterminate ind and cardiac ccc chagas patients peptides selected deraabearing alleles observed that these alleles display binding affinity towards hostderived peptides with sequence similarity parasitederived proteins these peptides can activate and induce proliferation cd4 tcells from ccc but not ind importantly the magnitude this response correlated with the severity ventricular dysfunction and increased production soluble factors associated with myocardial fibrosis analysis differentially expressed genes degs activated cd4 tcells from individuals with the deraadrb1 alleles demonstrated high expression cytotoxic chemotactic and proapoptotic genes linking these cells with pathogenic functions finally observed the upregulation genes that code for the host proteins that contain the potentially pathogenic peptides the cardiac tissue ccc suggesting their involvement cardiomyopathy our findings highlight the ability cd4 tcells from ccc patients recognize and react foreign and selfpeptides thereby emphasizing the importance hladrb1 alleles the presentation potentially pathogenic antigens and the amplification ccc pathology,2025/05/29,24676,"[IntegerElement(40391216, attributes={})]"
GSE289368,engineering sonogenetic echobackcar cells,chimeric antigen receptor car cell therapy marks significant advancement oncology offering the promise durable remissions hematological malignancies however solid tumors present formidable challenges including ontarget offtumor toxicity exhaustion and limited persistence therapeutic cells here engineered sonogenetic echobackcar cells using highly heatsensitive promoter evolved through sortseq platform and integrated with positive feedback loop from car signaling pathways that enables the conversion tumor engagement into car production resulting longlasting car expression upon remote stimulation focused ultrasound fus echobackcar cells with highaffinity singlechain variable fragment scfv targeting disialoganglioside gd2 echobackhgd2car exhibited potent cytotoxicity and persistence vitro glioblastoma spheroid model both subcutaneous and orthotopic glioblastoma models mice echobackhgd2car cells achieved robust and safe tumor suppression without offtumor toxicity through singlecell rna sequencing uncovered distinctive transcriptomic landscape that underscores the enhanced cytotoxicity and reduced exhaustion echobackcar cells after chronic antigen stimulation compared standard car cells that constitutively express car the echobackcar can also generalized and extended treat prostate cancer targeting prostatespecific membrane antigen echobackpsmacar demonstrating remarkable tumor suppression but minimal offtumor toxicity healthy tissues collectively these findings not only highlight the potential echobackcar cells promote solid tumor immunotherapy via ultrasound remote control but also present modular approach adaptable various cancer targets poised mitigate the limitations current car cell therapies,2025/05/29,30173,"[IntegerElement(40179881, attributes={})]"
GSE288823,mirna differential expression profile analysis and identification potential key genes active tuberculosis,background tuberculosis caused mycobacterium mtb remains significant global health issue particularly developing nations micrornas mirnas are noncoding rnas ncrnas that modulate immune responses and play pivotal role the pathogenesis mtb altering host immune defenses insights into the regulatory functions these mirnas have revealed mechanisms through which mtb evades immune surveillance and establishes persistent infections highlighting the critical role mirna networks pathogenesis objective the purpose this study was analyze mirna expression plasma from patients predict target genes and construct regulatory networks elucidate the roles mirnas pathogenesis methods this study recruited six participants comprising three patients with active and three healthy controls hcs highthroughput sequencing was employed profile mirnas differentially expressed mirnas dems were identified and their target genes were predicted using the targetscan and mirwalk databases the gene ontology and kegg databases facilitated the construction regulatory pathway networks additionally the search tool for the retrieval interacting genesproteins string analyzed proteinprotein interaction ppi networks for genes enriched immunerelated pathways highlighting key genes results the study identified dems with upregulated and downregulated prkcb was recognized potential diagnostic target analyses using and kegg identified pivotal pathways implicated pathogenesis particularly involving mirnas hsalet7a5p and novelmirna41 the prkcbrelated regulatory network conclusion identified dems and key gene prkcb associated with pathogenesis the mapk and chemokine pathways were identified central the regulatory mechanisms mtb infection presenting new possibilities for the development early diagnostic and therapeutic strategies,2025/05/29,30209,"[IntegerElement(40387517, attributes={})]"
GSE288811,brain endothelial cells with inflammatory signature ccm disease hypoxia and normoxia conditions huvecs,endothelial cells respond forces generated laminar blood flow with changes vasodilation anticoagulant fibrinolytic antiinflammatory functions which preserve vessel patency these responses flow are primarily mediated the elevation transcription factors krüppellike factors and klf2 and klf4 notably turbulent flow patterns which predispose atherosclerosis significantly reduce the endothelial expression klf2 and klf4 and reulting changes the transcriptome that exacerbate inflammation and thrombosis the ccm complex comprising krit1 ccm2 and ccm3 suppress expression klf2 and klf4 loss function the ccm complex has recently been suggested protect from coronary atherosclerosis humans thus hypothesized that silencing krit1 the central scaffold the ccm complex can normalize the effects turbulent flow the human endothelial transcriptome conducted bulk rna sequencing rnaseq human umbilical vein endothelial cells huvecs after silencing krit1 expression using specific sirnas the endothelial cells were exposed pulsatile shear stress laminar flow oscillatory shear stress disturbed flow flow for hours,2025/05/29,20301,"[IntegerElement(40362576, attributes={})]"
GSE287687,h2az distribution and chromatin accessibility within human aortic smooth muscle cell hasmcsciencellcuttag,report the genome wide distribution h2az and chromatin accessibilty profile within human aortic smooth cells,2025/05/29,24676,"[IntegerElement(40389821, attributes={})]"
GSE287684,transcriptome accessment human aortic smooth muscle cell and rat aortic smooth muscle cell hasmcrasmcrnaseq,report the transcriptome within human aortic smooth muscle cell and rat aortic smooth muscle cell some the cells were treated with cholesterol,2025/05/29,25947;24676,"[IntegerElement(40389821, attributes={})]"
